,matching_id,pmid,title,journal,journal_short,year,month,day,section,subsection,role,predictprob,cancer_id,cancer_name,cancer_normalized,cancer_start,cancer_end,gene_hugo_id,gene_entrez_id,gene_name,gene_normalized,gene_start,gene_end,sentence,formatted_sentence
1688,dc907d26606cf66d8aa3afab2ca7924a,25079552,Comprehensive molecular profiling of lung adenocarcinoma,Nature,Nature,2014,11.0,14.0,article,,Oncogene,0.7965939586400168,DOID:3910,lung adenocarcinomas,lung adenocarcinoma,320,340,HGNC:11998,7157,TP53,TP53,257,261,"NF1 mutations have previously been reported in lung adenocarcinoma , but this is the first study, to our knowledge, capable of identifying all classes of loss-of-function NF1 defects and to statistically demonstrate that NF1 mutations, as well as KEAP1 and TP53 mutations are enriched in the oncogene-negative subset of lung adenocarcinomas (Fig. 3c).","NF1 mutations have previously been reported in lung adenocarcinoma , but this is the first study, to our knowledge, capable of identifying all classes of loss-of-function NF1 defects and to statistically demonstrate that NF1 mutations, as well as KEAP1 and <b>TP53</b> mutations are enriched in the oncogene-negative subset of <b>lung adenocarcinomas</b> (Fig. 3c)."
2037,8e390ed2997c32b925dba06cfbfc21cf,33462514,Hepatocyte ATF3 protects against atherosclerosis by regulating HDL and bile acid metabolism,Nature metabolism,Nature metabolism,2021,7.0,18.0,article,results,Tumor_Suppressor,0.9450919118172822,DOID:3908,non-small cell lung carcinoma,lung non-small cell carcinoma,107,136,HGNC:11998,7157,P53,TP53,0,3,"P53 is a tumor suppressor protein that was previously shown to interact with ATF3 in H1299 cells , a human non-small cell lung carcinoma cell line.","<b>P53</b> is a tumor suppressor protein that was previously shown to interact with ATF3 in H1299 cells , a human <b>non-small cell lung carcinoma</b> cell line."
2139,9eb6448e78c96c6cb8d5790569211d1a,32753652,IMPAD1 and KDELR2 drive invasion and metastasis by enhancing Golgi-mediated secretion.,Oncogene,Oncogene,2021,2.0,4.0,floating,,Driver,0.895878500805044,DOID:3910,LuAd,lung adenocarcinoma,112,116,HGNC:11998,7157,Tp53,TP53,135,139,"c. IMPAD1 and KDELR2 amplification and mutation frequency in lung adenocarcinoma (LuAd) in relation to putative LuAd drivers, Kras and Tp53, as reported by TCGA.","c. IMPAD1 and KDELR2 amplification and mutation frequency in lung adenocarcinoma (LuAd) in relation to putative <b>LuAd</b> drivers, Kras and <b>Tp53</b>, as reported by TCGA."
2385,9eb6448e78c96c6cb8d5790569211d1a,30894749,A NIK- SIX signaling axis controls inflammation by targeted silencing of noncanonical NF-κB,Nature,Nature,2019,10.0,24.0,abstract,summary,Driver,0.9854140926988306,DOID:3910,lung adenocarcinoma,lung adenocarcinoma,52,71,HGNC:11998,7157,p53,TP53,41,44,"In addition, SIX1 and SIX2 protected RAS/p53-driven lung adenocarcinoma cells from inflammatory cell death induced by SMAC-mimetic chemotherapeutic agents, small-molecule activators of the non-canonical NF-κB pathway.","In addition, SIX1 and SIX2 protected RAS/<b>p53</b>-driven <b>lung adenocarcinoma</b> cells from inflammatory cell death induced by SMAC-mimetic chemotherapeutic agents, small-molecule activators of the non-canonical NF-κB pathway."
2386,67be1f611ae3e80440a8fbd853cb83ae,30894749,A NIK- SIX signaling axis controls inflammation by targeted silencing of noncanonical NF-κB,Nature,Nature,2019,10.0,24.0,article,,Driver,0.9874834064472684,DOID:3908,NSCLC,lung non-small cell carcinoma,53,58,HGNC:11998,7157,p53,TP53,42,45,"Specifically, we identified three RAS and p53-driven NSCLC cell lines (H1155, H1792 and H2087) that were refractory to combined BV6/TNF induced cell death, and exhibited high levels of endogenous SIX1 and SIX2 protein (Fig.","Specifically, we identified three RAS and <b>p53</b>-driven <b>NSCLC</b> cell lines (H1155, H1792 and H2087) that were refractory to combined BV6/TNF induced cell death, and exhibited high levels of endogenous SIX1 and SIX2 protein (Fig."
2783,8e390ed2997c32b925dba06cfbfc21cf,28368426,Co-dependency of PKCδ and K-Ras: Inverse association with cytotoxic drug sensitivity in KRAS mutant lung cancer,Oncogene,Oncogene,2017,10.0,3.0,article,results,Tumor_Suppressor,0.9308409423683588,DOID:3908,NSCLC,lung non-small cell carcinoma,81,86,HGNC:11998,7157,TP53,TP53,0,4,"TP53, which encodes the tumor suppressor protein p53, is mutated in about 50% of NSCLC, and mutation of TP53 predicts resistance to chemotherapeutic drugs in lung and other types of cancer.","<b>TP53</b>, which encodes the tumor suppressor protein p53, is mutated in about 50% of <b>NSCLC</b>, and mutation of TP53 predicts resistance to chemotherapeutic drugs in lung and other types of cancer."
4305,67be1f611ae3e80440a8fbd853cb83ae,21107427,Selective activation of p53-mediated tumour suppression in high-grade tumours,Nature,Nature,2011,5.0,25.0,article,,Driver,0.9557882757396786,DOID:3908,NSCLC,lung non-small cell carcinoma,49,54,HGNC:11998,7157,p53,TP53,23,26,"These data affirm that p53 restrains Kras-driven NSCLC yet indicate that, even when combined, Kras G12D activation and p53 inactivation are insufficient to generate malignant tumours without additional, aleatory mutations.","These data affirm that <b>p53</b> restrains Kras-driven <b>NSCLC</b> yet indicate that, even when combined, Kras G12D activation and p53 inactivation are insufficient to generate malignant tumours without additional, aleatory mutations."
4853,8e390ed2997c32b925dba06cfbfc21cf,40502681,Complex regulatory network of programmed death-ligand 1 in cancer: Cancer immunomodulation from molecular mechanisms to clinical applications,iScience,iScience,2025,5.0,9.0,article,,Tumor_Suppressor,0.9952577641429348,DOID:3908,NSCLC,lung non-small cell carcinoma,3,8,HGNC:11998,7157,p53,TP53,31,34,"In NSCLC, the tumor suppressor p53 inhibits PD-L1 expression through miR-34a.","In <b>NSCLC</b>, the tumor suppressor <b>p53</b> inhibits PD-L1 expression through miR-34a."
4876,1079316e3f0a343a5cd8dc954e5e3a4d,40345640,COL5A2-mediated endoplasmic reticulum stress promotes macrophage M2 polarization in lung adenocarcinoma,Cell Stress & Chaperones,Cell Stress & Chaperones,2025,5.0,7.0,article,results,Oncogene,0.7901011173596133,DOID:3910,LUAD,lung adenocarcinoma,127,131,HGNC:2210,1290,COL5A2,COL5A2,0,6,"COL5A2, identified as an oncogenic gene in numerous cancer studies,is under scrutiny in our research for its potential role in LUAD and its mechanisms.","<b>COL5A2</b>, identified as an oncogenic gene in numerous cancer studies,is under scrutiny in our research for its potential role in <b>LUAD</b> and its mechanisms."
5387,8e390ed2997c32b925dba06cfbfc21cf,40276086,"Development of a coagulation-related gene model for prognostication, immune response and treatment prediction in lung adenocarcinoma",Oncology Letters,Oncology Letters,2025,4.0,11.0,article,discussion,Tumor_Suppressor,0.9448290261077178,DOID:3908,NSCLC,lung non-small cell carcinoma,103,108,HGNC:11998,7157,TP53,TP53,17,21,"Mutations in the TP53 tumor suppressor gene are the most common in human malignancies, particularly in NSCLC.","Mutations in the <b>TP53</b> tumor suppressor gene are the most common in human malignancies, particularly in <b>NSCLC</b>."
6594,9eb6448e78c96c6cb8d5790569211d1a,39263011,Oncogene-addicted solid tumors and microbiome-lung cancer as a main character: a narrative review,Translational Lung Cancer Research,Translational Lung Cancer Research,2024,8.0,31.0,article,methods,Driver,0.987602236847516,DOID:3910,lung cancer adenocarcinoma,lung adenocarcinoma,78,104,HGNC:11998,7157,p53,TP53,67,70,A preclinical study analyzing the impact of microbiota in KRAS and p53-driven lung cancer adenocarcinoma showed germ-free mice exhibited delayed tumor growth and a smaller proportion of high-grade lesions.,A preclinical study analyzing the impact of microbiota in KRAS and <b>p53</b>-driven <b>lung cancer adenocarcinoma</b> showed germ-free mice exhibited delayed tumor growth and a smaller proportion of high-grade lesions.
6848,9d6788ccde63b9257c60b24bdc3fd551,38798241,FOXP3 targets KIF5A to increase lactate production and promote docetaxel resistance in lung adenocarcinoma,Acta Biochimica et Biophysica Sinica,Acta Biochimica et Biophysica Sinica,2024,7.0,25.0,article,results,Oncogene,0.8516975730331671,DOID:3910,LUAD,lung adenocarcinoma,38,42,HGNC:6323,3798,KIF5A,KIF5A,12,17,"In summary, KIF5A is overexpressed in LUAD, indicating its potential oncogenic role in tumor development.","In summary, <b>KIF5A</b> is overexpressed in <b>LUAD</b>, indicating its potential oncogenic role in tumor development."
6903,9eb6448e78c96c6cb8d5790569211d1a,39131266,Senescent fibroblasts in the tumor stroma rewire lung cancer metabolism and plasticity,bioRxiv,bioRxiv,2024,7.0,30.0,abstract,summary,Driver,0.976654821400596,DOID:3910,lung adenocarcinoma,lung adenocarcinoma,161,180,HGNC:11998,7157,p53,TP53,200,203,"Here, we identified senescent p16 Ink4a + cancer-associated fibroblasts with a secretory phenotype that promotes fatty acid uptake and utilization by aggressive lung adenocarcinoma driven by Kras and p53 mutations.","Here, we identified senescent p16 Ink4a + cancer-associated fibroblasts with a secretory phenotype that promotes fatty acid uptake and utilization by aggressive <b>lung adenocarcinoma</b> driven by Kras and <b>p53</b> mutations."
