,Unnamed: 0,Ensembl_id,Hugo_id,Mutation_Value,Proteomics_Value,Methylation_Value,Mean_Wass_Weight,Expression_Value,PathwayInfo,Essentiality_Value,HIM_Score,degree_centrality,betweenness_centrality,eigenvector_centrality
0,0,ENSG00000256463,SALL3,0.877642798,1.950187364,1.978294246,0.1616862506,3.709443383,0,0.02351497229,0,19,0.008546292417,0.04796885808
1,1,ENSG00000134020,PEBP4,0.6989183681,-1.288363751,7.412012521,0.1129441162,-2.714785662,0,0.005067913782,0.2832820388,30.66666667,0.006343370957,0.04996418647
2,2,ENSG00000169554,ZEB2,1.096083137,-0.5353387226,1.792917507,0.1106118613,-1.437105622,0,0.2497811292,0.2432269158,31.33333333,0.009418362275,0.04991504921
3,3,ENSG00000118322,ATP10B,1.151972239,0.6476430117,7.689354868,0.1066550154,4.796858704,0,0.05090917097,0.2701881953,30.66666667,0.006343370957,0.04996418647
4,4,ENSG00000003987,MTMR7,1.221619703,-2.155737617,7.545158898,0.0928378799,1.201472654,0,0.03071129492,0.2552298053,31,0.006544293332,0.04999381711
5,5,ENSG00000115896,PLCL1,2.403264497,-0.8733717867,-2.341955885,0.1858282169,-1.698203603,0,0.1369816231,0.1723044023,20.66666667,0.006533421775,0.04826032682
6,6,ENSG00000159164,SV2A,1.250870537,0.6479673982,2.178776581,0.1834781385,1.355479486,0,0.295862117,0.5285270658,29,0.006883669381,0.04967247641
7,7,ENSG00000123243,ITIH5,0.9499238026,-1.315446704,7.532603889,0.1323712402,-2.124092064,0,0.07569228472,0.2518874283,31,0.006945670385,0.04998703774
8,8,ENSG00000168658,VWA3B,2.11534115,0.6267666928,7.362566301,0.05271225805,-1.804027509,0,0.0783599064,0.4335246568,31.33333333,0.006521019115,0.05001374926
9,9,ENSG00000170289,CNGB3,1.105637557,-0.979185622,-1.38258661,0.100367134,2.878069423,0,0.02473999424,0,19,0.008546292417,0.04796885808
10,10,ENSG00000090006,LTBP4,0.8044015641,-0.7408730481,-2.112351182,0.06748906284,-2.058182567,0,0.07869237553,0.242719308,31,0.006886876351,0.04996120722
11,11,ENSG00000171368,TPPP,1.763752046,-1.384208574,7.4279892,0.1308430135,-1.549072222,0,0.08316786384,0.3125819899,30.66666667,0.006343370957,0.04996418647
12,12,ENSG00000116711,PLA2G4A,2.291894362,0.6406453675,7.421516935,0.1039605357,2.260180545,0,0.09631371048,0.5533346009,31,0.006544293332,0.04999381711
13,13,ENSG00000168952,STXBP6,1.730595579,-2.07366768,2.264473918,0.1321319579,-3.45040646,0,0.02063180567,0.2372189686,28,0.006328973565,0.0495391082
14,14,ENSG00000165124,SVEP1,1.809084163,-0.7391790826,7.300459654,0.06502184432,-2.000589031,0,0.03863521787,0.2528506079,31.33333333,0.007060560383,0.05000641657
