Rank,HUGO_ID,Score,Predicted,Ground_Truth
1,MTMR7,0.5416,1,N/A (Unlabeled)
2,KIF5A,0.5404,1,N/A (Unlabeled)
3,PEBP4,0.5398,1,1 (Used as Spy)
4,COL6A6,0.5359,1,1 (True Positive)
5,ADAMTS16,0.5339,1,N/A (Unlabeled)
6,CIT,0.5333,1,N/A (Unlabeled)
7,SV2A,0.5333,1,1 (True Positive)
8,LTBP4,0.5322,1,N/A (Unlabeled)
9,MMRN1,0.5319,1,N/A (Unlabeled)
10,EYA4,0.5318,1,1 (True Positive)
11,PAX9,0.5307,1,N/A (Unlabeled)
12,ZEB2,0.5300,1,N/A (Unlabeled)
13,PGM5,0.5300,1,N/A (Unlabeled)
14,SOX5,0.5299,1,N/A (Unlabeled)
15,STXBP6,0.5292,1,N/A (Unlabeled)
16,TBX5,0.5287,1,N/A (Unlabeled)
17,PDZD2,0.5284,1,N/A (Unlabeled)
18,MYBPC1,0.5278,1,N/A (Unlabeled)
19,PLA2G4A,0.5276,1,1 (True Positive)
20,IL33,0.5274,1,1 (True Positive)
21,TRIM58,0.5273,1,N/A (Unlabeled)
22,SLC9A9,0.5270,1,1 (Used as Spy)
23,ITIH5,0.5270,1,N/A (Unlabeled)
24,SVEP1,0.5269,1,1 (Used as Spy)
25,VWA3B,0.5267,1,N/A (Unlabeled)
26,TP53,0.5266,1,1 (Used as Spy)
27,CASS4,0.5261,1,N/A (Unlabeled)
28,DENND2A,0.5257,1,N/A (Unlabeled)
29,TBX3,0.5256,1,N/A (Unlabeled)
30,MYH11,0.5255,1,N/A (Unlabeled)
31,PARD3B,0.5252,1,1 (True Positive)
32,ATP10B,0.5251,1,N/A (Unlabeled)
33,COL5A2,0.5251,1,1 (True Positive)
34,TPPP,0.5244,1,1 (True Positive)
35,MEOX2,0.5242,1,N/A (Unlabeled)
36,UTRN,0.5242,1,1 (True Positive)
37,RGS22,0.5232,1,N/A (Unlabeled)
38,STXBP5L,0.5220,1,N/A (Unlabeled)
39,CNGB3,0.5216,1,N/A (Unlabeled)
40,GDF10,0.5212,1,N/A (Unlabeled)
41,C1orf162,0.5210,1,N/A (Unlabeled)
42,SALL3,0.5208,1,N/A (Unlabeled)
43,PLCL1,0.5208,1,N/A (Unlabeled)
44,SYNPO2,0.5207,1,N/A (Unlabeled)
45,RP1,0.5204,1,N/A (Unlabeled)
46,CALCRL,0.5198,1,1 (True Positive)
47,A2M,0.5195,1,1 (True Positive)
48,BCHE,0.5190,1,1 (True Positive)
49,TIE1,0.5183,1,1 (True Positive)
50,CLEC14A,0.5181,1,N/A (Unlabeled)
51,TBX4,0.5157,1,N/A (Unlabeled)
52,ACTN2,0.5138,1,1 (Used as Spy)
